Name: “Table 1 of 1 on page 91 of 166”,Name: “Table 1 of 1 on page 91 of 166”,Name: “Table 1 of 1 on page 91 of 166”,Name: “Table 1 of 1 on page 91 of 166”,Name: “Table 1 of 1 on page 91 of 166”,Name: “Table 1 of 1 on page 91 of 166”,Name: “Table 1 of 1 on page 91 of 166”,Name: “Table 1 of 1 on page 91 of 166”,Name: “Table 1 of 1 on page 91 of 166”,Name: “Table 1 of 1 on page 91 of 166”,Name: “Table 1 of 1 on page 91 of 166”,Name: “Table 1 of 1 on page 91 of 166”,Name: “Table 1 of 1 on page 91 of 166”,Name: “Table 1 of 1 on page 91 of 166”,Name: “Table 1 of 1 on page 91 of 166”,Name: “Table 1 of 1 on page 91 of 166”,Name: “Table 1 of 1 on page 91 of 166”
Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Satellite Services Office,Satellite Services Office,Satellite Services Office,Satellite Services Office,,,,,,,,,,General Operating Fund,General Operating Fund,General Operating Fund,General Operating Fund
KEY WORKPLAN ITEMS,KEY WORKPLAN ITEMS,KEY WORKPLAN ITEMS,KEY WORKPLAN ITEMS,,,,,,,,,,,,,
1.,"Serve as second location for services such as collecting taxes and fees for the Treasurer’s office,","Serve as second location for services such as collecting taxes and fees for the Treasurer’s office,","Serve as second location for services such as collecting taxes and fees for the Treasurer’s office,","Serve as second location for services such as collecting taxes and fees for the Treasurer’s office,","Serve as second location for services such as collecting taxes and fees for the Treasurer’s office,","Serve as second location for services such as collecting taxes and fees for the Treasurer’s office,","Serve as second location for services such as collecting taxes and fees for the Treasurer’s office,","Serve as second location for services such as collecting taxes and fees for the Treasurer’s office,","Serve as second location for services such as collecting taxes and fees for the Treasurer’s office,","Serve as second location for services such as collecting taxes and fees for the Treasurer’s office,","Serve as second location for services such as collecting taxes and fees for the Treasurer’s office,","Serve as second location for services such as collecting taxes and fees for the Treasurer’s office,","Serve as second location for services such as collecting taxes and fees for the Treasurer’s office,","Serve as second location for services such as collecting taxes and fees for the Treasurer’s office,","Serve as second location for services such as collecting taxes and fees for the Treasurer’s office,","Serve as second location for services such as collecting taxes and fees for the Treasurer’s office,"
,"registering and collecting fees for parks and recreation classes and programs, registering","registering and collecting fees for parks and recreation classes and programs, registering","registering and collecting fees for parks and recreation classes and programs, registering","registering and collecting fees for parks and recreation classes and programs, registering","registering and collecting fees for parks and recreation classes and programs, registering","registering and collecting fees for parks and recreation classes and programs, registering","registering and collecting fees for parks and recreation classes and programs, registering","registering and collecting fees for parks and recreation classes and programs, registering","registering and collecting fees for parks and recreation classes and programs, registering","registering and collecting fees for parks and recreation classes and programs, registering","registering and collecting fees for parks and recreation classes and programs, registering","registering and collecting fees for parks and recreation classes and programs, registering","registering and collecting fees for parks and recreation classes and programs, registering","registering and collecting fees for parks and recreation classes and programs, registering","registering and collecting fees for parks and recreation classes and programs, registering",
,"vehicles/businesses and collecting fees for the Commissioner of the Revenue, Issuing","vehicles/businesses and collecting fees for the Commissioner of the Revenue, Issuing","vehicles/businesses and collecting fees for the Commissioner of the Revenue, Issuing","vehicles/businesses and collecting fees for the Commissioner of the Revenue, Issuing","vehicles/businesses and collecting fees for the Commissioner of the Revenue, Issuing","vehicles/businesses and collecting fees for the Commissioner of the Revenue, Issuing","vehicles/businesses and collecting fees for the Commissioner of the Revenue, Issuing","vehicles/businesses and collecting fees for the Commissioner of the Revenue, Issuing","vehicles/businesses and collecting fees for the Commissioner of the Revenue, Issuing","vehicles/businesses and collecting fees for the Commissioner of the Revenue, Issuing","vehicles/businesses and collecting fees for the Commissioner of the Revenue, Issuing","vehicles/businesses and collecting fees for the Commissioner of the Revenue, Issuing","vehicles/businesses and collecting fees for the Commissioner of the Revenue, Issuing","vehicles/businesses and collecting fees for the Commissioner of the Revenue, Issuing","vehicles/businesses and collecting fees for the Commissioner of the Revenue, Issuing",
,"building/accessory permits and collecting fees for Building Safety and Permits, collecting","building/accessory permits and collecting fees for Building Safety and Permits, collecting","building/accessory permits and collecting fees for Building Safety and Permits, collecting","building/accessory permits and collecting fees for Building Safety and Permits, collecting","building/accessory permits and collecting fees for Building Safety and Permits, collecting","building/accessory permits and collecting fees for Building Safety and Permits, collecting","building/accessory permits and collecting fees for Building Safety and Permits, collecting","building/accessory permits and collecting fees for Building Safety and Permits, collecting","building/accessory permits and collecting fees for Building Safety and Permits, collecting","building/accessory permits and collecting fees for Building Safety and Permits, collecting","building/accessory permits and collecting fees for Building Safety and Permits, collecting","building/accessory permits and collecting fees for Building Safety and Permits, collecting","building/accessory permits and collecting fees for Building Safety and Permits, collecting","building/accessory permits and collecting fees for Building Safety and Permits, collecting","building/accessory permits and collecting fees for Building Safety and Permits, collecting",
