Name: “Table 1 of 1 on page 72 of 165”,Name: “Table 1 of 1 on page 72 of 165”,Name: “Table 1 of 1 on page 72 of 165”,Name: “Table 1 of 1 on page 72 of 165”,Name: “Table 1 of 1 on page 72 of 165”,Name: “Table 1 of 1 on page 72 of 165”,Name: “Table 1 of 1 on page 72 of 165”,Name: “Table 1 of 1 on page 72 of 165”,Name: “Table 1 of 1 on page 72 of 165”,Name: “Table 1 of 1 on page 72 of 165”,Name: “Table 1 of 1 on page 72 of 165”,Name: “Table 1 of 1 on page 72 of 165”,Name: “Table 1 of 1 on page 72 of 165”,Name: “Table 1 of 1 on page 72 of 165”,Name: “Table 1 of 1 on page 72 of 165”,Name: “Table 1 of 1 on page 72 of 165”
Table: 72,Table: 72,Table: 72,Table: 72,Table: 72,Table: 72,Table: 72,Table: 72,Table: 72,Table: 72,Table: 72,Table: 72,Table: 72,Table: 72,Table: 72,Table: 72
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Fire/Emergency Medical Services,Fire/Emergency Medical Services,Fire/Emergency Medical Services,Fire/Emergency Medical Services,Fire/Emergency Medical Services,Fire/Emergency Medical Services,,,,General Operating Fund,General Operating Fund,General Operating Fund,General Operating Fund,General Operating Fund,General Operating Fund,General Operating Fund
BUDGET COMMENTS,BUDGET COMMENTS,BUDGET COMMENTS,BUDGET COMMENTS,,,,,,,,,,,,
Funding,is,provided,for,scheduled,career,ladder,"advancements,","advancements,",increases,increases,in,overtime,for,increased,increased
hourly rates and OSHA required hearing tests. Temporary hours have been converted to a part time,hourly rates and OSHA required hearing tests. Temporary hours have been converted to a part time,hourly rates and OSHA required hearing tests. Temporary hours have been converted to a part time,hourly rates and OSHA required hearing tests. Temporary hours have been converted to a part time,hourly rates and OSHA required hearing tests. Temporary hours have been converted to a part time,hourly rates and OSHA required hearing tests. Temporary hours have been converted to a part time,hourly rates and OSHA required hearing tests. Temporary hours have been converted to a part time,hourly rates and OSHA required hearing tests. Temporary hours have been converted to a part time,hourly rates and OSHA required hearing tests. Temporary hours have been converted to a part time,hourly rates and OSHA required hearing tests. Temporary hours have been converted to a part time,hourly rates and OSHA required hearing tests. Temporary hours have been converted to a part time,hourly rates and OSHA required hearing tests. Temporary hours have been converted to a part time,hourly rates and OSHA required hearing tests. Temporary hours have been converted to a part time,hourly rates and OSHA required hearing tests. Temporary hours have been converted to a part time,hourly rates and OSHA required hearing tests. Temporary hours have been converted to a part time,hourly rates and OSHA required hearing tests. Temporary hours have been converted to a part time
Recruitment and Retention Coordinator. Increased funding is provided for fuel costs and capital expenses,Recruitment and Retention Coordinator. Increased funding is provided for fuel costs and capital expenses,Recruitment and Retention Coordinator. Increased funding is provided for fuel costs and capital expenses,Recruitment and Retention Coordinator. Increased funding is provided for fuel costs and capital expenses,Recruitment and Retention Coordinator. Increased funding is provided for fuel costs and capital expenses,Recruitment and Retention Coordinator. Increased funding is provided for fuel costs and capital expenses,Recruitment and Retention Coordinator. Increased funding is provided for fuel costs and capital expenses,Recruitment and Retention Coordinator. Increased funding is provided for fuel costs and capital expenses,Recruitment and Retention Coordinator. Increased funding is provided for fuel costs and capital expenses,Recruitment and Retention Coordinator. Increased funding is provided for fuel costs and capital expenses,Recruitment and Retention Coordinator. Increased funding is provided for fuel costs and capital expenses,Recruitment and Retention Coordinator. Increased funding is provided for fuel costs and capital expenses,Recruitment and Retention Coordinator. Increased funding is provided for fuel costs and capital expenses,Recruitment and Retention Coordinator. Increased funding is provided for fuel costs and capital expenses,Recruitment and Retention Coordinator. Increased funding is provided for fuel costs and capital expenses,Recruitment and Retention Coordinator. Increased funding is provided for fuel costs and capital expenses
"include replacement firefighting and EMS equipment, and a trailer to serve as a mobile service shop for","include replacement firefighting and EMS equipment, and a trailer to serve as a mobile service shop for","include replacement firefighting and EMS equipment, and a trailer to serve as a mobile service shop for","include replacement firefighting and EMS equipment, and a trailer to serve as a mobile service shop for","include replacement firefighting and EMS equipment, and a trailer to serve as a mobile service shop for","include replacement firefighting and EMS equipment, and a trailer to serve as a mobile service shop for","include replacement firefighting and EMS equipment, and a trailer to serve as a mobile service shop for","include replacement firefighting and EMS equipment, and a trailer to serve as a mobile service shop for","include replacement firefighting and EMS equipment, and a trailer to serve as a mobile service shop for","include replacement firefighting and EMS equipment, and a trailer to serve as a mobile service shop for","include replacement firefighting and EMS equipment, and a trailer to serve as a mobile service shop for","include replacement firefighting and EMS equipment, and a trailer to serve as a mobile service shop for","include replacement firefighting and EMS equipment, and a trailer to serve as a mobile service shop for","include replacement firefighting and EMS equipment, and a trailer to serve as a mobile service shop for","include replacement firefighting and EMS equipment, and a trailer to serve as a mobile service shop for","include replacement firefighting and EMS equipment, and a trailer to serve as a mobile service shop for"
SCBA,repairs,and,annual,flow,testing.,Funding,for,leased,space,at,McLaws,Circle,Circle,for,Fire
Administration has been removed as staff has been relocated to the renovated owned space on John Tyler,Administration has been removed as staff has been relocated to the renovated owned space on John Tyler,Administration has been removed as staff has been relocated to the renovated owned space on John Tyler,Administration has been removed as staff has been relocated to the renovated owned space on John Tyler,Administration has been removed as staff has been relocated to the renovated owned space on John Tyler,Administration has been removed as staff has been relocated to the renovated owned space on John Tyler,Administration has been removed as staff has been relocated to the renovated owned space on John Tyler,Administration has been removed as staff has been relocated to the renovated owned space on John Tyler,Administration has been removed as staff has been relocated to the renovated owned space on John Tyler,Administration has been removed as staff has been relocated to the renovated owned space on John Tyler,Administration has been removed as staff has been relocated to the renovated owned space on John Tyler,Administration has been removed as staff has been relocated to the renovated owned space on John Tyler,Administration has been removed as staff has been relocated to the renovated owned space on John Tyler,Administration has been removed as staff has been relocated to the renovated owned space on John Tyler,Administration has been removed as staff has been relocated to the renovated owned space on John Tyler,Administration has been removed as staff has been relocated to the renovated owned space on John Tyler
Highway.,Highway.,,,,,,,,,,,,,,
,,,,,,Page C-19,Page C-19,,,,,,,,
