Name: “Table 1 of 1 on page 73 of 165”,Name: “Table 1 of 1 on page 73 of 165”,Name: “Table 1 of 1 on page 73 of 165”,Name: “Table 1 of 1 on page 73 of 165”,Name: “Table 1 of 1 on page 73 of 165”,Name: “Table 1 of 1 on page 73 of 165”,Name: “Table 1 of 1 on page 73 of 165”,Name: “Table 1 of 1 on page 73 of 165”,Name: “Table 1 of 1 on page 73 of 165”
Table: 73,Table: 73,Table: 73,Table: 73,Table: 73,Table: 73,Table: 73,Table: 73,Table: 73
,,,,,,,,
,,,,,,,,
Emergency Management,Emergency Management,,,,General Operating Fund,General Operating Fund,General Operating Fund,General Operating Fund
KEY WORKPLAN ITEMS,KEY WORKPLAN ITEMS,,,,,,,
1.,"Coordinate overall County emergency preparedness, response, and recovery responsibilities","Coordinate overall County emergency preparedness, response, and recovery responsibilities","Coordinate overall County emergency preparedness, response, and recovery responsibilities","Coordinate overall County emergency preparedness, response, and recovery responsibilities","Coordinate overall County emergency preparedness, response, and recovery responsibilities","Coordinate overall County emergency preparedness, response, and recovery responsibilities","Coordinate overall County emergency preparedness, response, and recovery responsibilities",
2.,"Educate citizens about hazards, risks, and ways to prepare for and recover from emergencies","Educate citizens about hazards, risks, and ways to prepare for and recover from emergencies","Educate citizens about hazards, risks, and ways to prepare for and recover from emergencies","Educate citizens about hazards, risks, and ways to prepare for and recover from emergencies","Educate citizens about hazards, risks, and ways to prepare for and recover from emergencies","Educate citizens about hazards, risks, and ways to prepare for and recover from emergencies","Educate citizens about hazards, risks, and ways to prepare for and recover from emergencies",
3.,"Maintain the Emergency Operations Center (EOC), mobile command center, and dedicated","Maintain the Emergency Operations Center (EOC), mobile command center, and dedicated","Maintain the Emergency Operations Center (EOC), mobile command center, and dedicated","Maintain the Emergency Operations Center (EOC), mobile command center, and dedicated","Maintain the Emergency Operations Center (EOC), mobile command center, and dedicated","Maintain the Emergency Operations Center (EOC), mobile command center, and dedicated","Maintain the Emergency Operations Center (EOC), mobile command center, and dedicated",
,equipment and appropriate technologies to ensure response capabilities,equipment and appropriate technologies to ensure response capabilities,equipment and appropriate technologies to ensure response capabilities,equipment and appropriate technologies to ensure response capabilities,equipment and appropriate technologies to ensure response capabilities,equipment and appropriate technologies to ensure response capabilities,,
4.,"Conduct and participate in local, regional, State and federal emergency training and exercises","Conduct and participate in local, regional, State and federal emergency training and exercises","Conduct and participate in local, regional, State and federal emergency training and exercises","Conduct and participate in local, regional, State and federal emergency training and exercises","Conduct and participate in local, regional, State and federal emergency training and exercises","Conduct and participate in local, regional, State and federal emergency training and exercises","Conduct and participate in local, regional, State and federal emergency training and exercises",
5.,Provide comprehensive Community Emergency Response Team (CERT) courses for a projected 40,Provide comprehensive Community Emergency Response Team (CERT) courses for a projected 40,Provide comprehensive Community Emergency Response Team (CERT) courses for a projected 40,Provide comprehensive Community Emergency Response Team (CERT) courses for a projected 40,Provide comprehensive Community Emergency Response Team (CERT) courses for a projected 40,Provide comprehensive Community Emergency Response Team (CERT) courses for a projected 40,Provide comprehensive Community Emergency Response Team (CERT) courses for a projected 40,Provide comprehensive Community Emergency Response Team (CERT) courses for a projected 40
,citizens,,,,,,,
6.,Maintain emergency alert and information capabilities using JCC Alert (jccalert.org) to deliver,Maintain emergency alert and information capabilities using JCC Alert (jccalert.org) to deliver,Maintain emergency alert and information capabilities using JCC Alert (jccalert.org) to deliver,Maintain emergency alert and information capabilities using JCC Alert (jccalert.org) to deliver,Maintain emergency alert and information capabilities using JCC Alert (jccalert.org) to deliver,Maintain emergency alert and information capabilities using JCC Alert (jccalert.org) to deliver,Maintain emergency alert and information capabilities using JCC Alert (jccalert.org) to deliver,
