Name: “Table 1 of 1 on page 172 of 212”,Name: “Table 1 of 1 on page 172 of 212”,Name: “Table 1 of 1 on page 172 of 212”,Name: “Table 1 of 1 on page 172 of 212”,Name: “Table 1 of 1 on page 172 of 212”,Name: “Table 1 of 1 on page 172 of 212”,Name: “Table 1 of 1 on page 172 of 212”,Name: “Table 1 of 1 on page 172 of 212”,Name: “Table 1 of 1 on page 172 of 212”,Name: “Table 1 of 1 on page 172 of 212”,Name: “Table 1 of 1 on page 172 of 212”,Name: “Table 1 of 1 on page 172 of 212”,Name: “Table 1 of 1 on page 172 of 212”
Table: 172,Table: 172,Table: 172,Table: 172,Table: 172,Table: 172,Table: 172,Table: 172,Table: 172,Table: 172,Table: 172,Table: 172,Table: 172
,,,,,,,,,,,,
KEY GOALS AND O BJECTIVES,KEY GOALS AND O BJECTIVES,KEY GOALS AND O BJECTIVES,KEY GOALS AND O BJECTIVES,KEY GOALS AND O BJECTIVES,,,,,,,,
•,"Before the 2011-2012 school year begins, NDPH will provide a comprehensive and collaborative School","Before the 2011-2012 school year begins, NDPH will provide a comprehensive and collaborative School","Before the 2011-2012 school year begins, NDPH will provide a comprehensive and collaborative School","Before the 2011-2012 school year begins, NDPH will provide a comprehensive and collaborative School","Before the 2011-2012 school year begins, NDPH will provide a comprehensive and collaborative School","Before the 2011-2012 school year begins, NDPH will provide a comprehensive and collaborative School","Before the 2011-2012 school year begins, NDPH will provide a comprehensive and collaborative School","Before the 2011-2012 school year begins, NDPH will provide a comprehensive and collaborative School","Before the 2011-2012 school year begins, NDPH will provide a comprehensive and collaborative School","Before the 2011-2012 school year begins, NDPH will provide a comprehensive and collaborative School","Before the 2011-2012 school year begins, NDPH will provide a comprehensive and collaborative School","Before the 2011-2012 school year begins, NDPH will provide a comprehensive and collaborative School"
,"Nurse system that responds to students' acute, chronic, episodic and emergency health care while","Nurse system that responds to students' acute, chronic, episodic and emergency health care while","Nurse system that responds to students' acute, chronic, episodic and emergency health care while","Nurse system that responds to students' acute, chronic, episodic and emergency health care while","Nurse system that responds to students' acute, chronic, episodic and emergency health care while","Nurse system that responds to students' acute, chronic, episodic and emergency health care while","Nurse system that responds to students' acute, chronic, episodic and emergency health care while","Nurse system that responds to students' acute, chronic, episodic and emergency health care while","Nurse system that responds to students' acute, chronic, episodic and emergency health care while","Nurse system that responds to students' acute, chronic, episodic and emergency health care while","Nurse system that responds to students' acute, chronic, episodic and emergency health care while","Nurse system that responds to students' acute, chronic, episodic and emergency health care while"
,"protecting students and staff through immunization compliance, health screenings and preventing and","protecting students and staff through immunization compliance, health screenings and preventing and","protecting students and staff through immunization compliance, health screenings and preventing and","protecting students and staff through immunization compliance, health screenings and preventing and","protecting students and staff through immunization compliance, health screenings and preventing and","protecting students and staff through immunization compliance, health screenings and preventing and","protecting students and staff through immunization compliance, health screenings and preventing and","protecting students and staff through immunization compliance, health screenings and preventing and","protecting students and staff through immunization compliance, health screenings and preventing and","protecting students and staff through immunization compliance, health screenings and preventing and","protecting students and staff through immunization compliance, health screenings and preventing and","protecting students and staff through immunization compliance, health screenings and preventing and"
,responding to disease outbreaks.,responding to disease outbreaks.,responding to disease outbreaks.,,,,,,,,,
•,Systematically,monitor,vector,mosquito,species,to,rapidly,prevent,or,reduce,adult,mosquito
,populations.,,,,,,,,,,,
•,"Revise the mosquito control procedures to ensure a sufficient and reliable surveillance system, following","Revise the mosquito control procedures to ensure a sufficient and reliable surveillance system, following","Revise the mosquito control procedures to ensure a sufficient and reliable surveillance system, following","Revise the mosquito control procedures to ensure a sufficient and reliable surveillance system, following","Revise the mosquito control procedures to ensure a sufficient and reliable surveillance system, following","Revise the mosquito control procedures to ensure a sufficient and reliable surveillance system, following","Revise the mosquito control procedures to ensure a sufficient and reliable surveillance system, following","Revise the mosquito control procedures to ensure a sufficient and reliable surveillance system, following","Revise the mosquito control procedures to ensure a sufficient and reliable surveillance system, following","Revise the mosquito control procedures to ensure a sufficient and reliable surveillance system, following","Revise the mosquito control procedures to ensure a sufficient and reliable surveillance system, following","Revise the mosquito control procedures to ensure a sufficient and reliable surveillance system, following"
,closure of the public health laboratory.,closure of the public health laboratory.,closure of the public health laboratory.,closure of the public health laboratory.,,,,,,,,
•,Increase by 3 percent the number of low income children and adolescents receiving dental services,Increase by 3 percent the number of low income children and adolescents receiving dental services,Increase by 3 percent the number of low income children and adolescents receiving dental services,Increase by 3 percent the number of low income children and adolescents receiving dental services,Increase by 3 percent the number of low income children and adolescents receiving dental services,Increase by 3 percent the number of low income children and adolescents receiving dental services,Increase by 3 percent the number of low income children and adolescents receiving dental services,Increase by 3 percent the number of low income children and adolescents receiving dental services,Increase by 3 percent the number of low income children and adolescents receiving dental services,Increase by 3 percent the number of low income children and adolescents receiving dental services,Increase by 3 percent the number of low income children and adolescents receiving dental services,Increase by 3 percent the number of low income children and adolescents receiving dental services
,provided by local health department public health dental staff.,provided by local health department public health dental staff.,provided by local health department public health dental staff.,provided by local health department public health dental staff.,provided by local health department public health dental staff.,provided by local health department public health dental staff.,provided by local health department public health dental staff.,,,,,
•,Increase by 30 percent the monitoring of bulk refuse containers to ensure all bulk refuse containers are,Increase by 30 percent the monitoring of bulk refuse containers to ensure all bulk refuse containers are,Increase by 30 percent the monitoring of bulk refuse containers to ensure all bulk refuse containers are,Increase by 30 percent the monitoring of bulk refuse containers to ensure all bulk refuse containers are,Increase by 30 percent the monitoring of bulk refuse containers to ensure all bulk refuse containers are,Increase by 30 percent the monitoring of bulk refuse containers to ensure all bulk refuse containers are,Increase by 30 percent the monitoring of bulk refuse containers to ensure all bulk refuse containers are,Increase by 30 percent the monitoring of bulk refuse containers to ensure all bulk refuse containers are,Increase by 30 percent the monitoring of bulk refuse containers to ensure all bulk refuse containers are,Increase by 30 percent the monitoring of bulk refuse containers to ensure all bulk refuse containers are,Increase by 30 percent the monitoring of bulk refuse containers to ensure all bulk refuse containers are,Increase by 30 percent the monitoring of bulk refuse containers to ensure all bulk refuse containers are
,enclosed and maintained according to code.,enclosed and maintained according to code.,enclosed and maintained according to code.,enclosed and maintained according to code.,,,,,,,,
Expenditure Summary,Expenditure Summary,Expenditure Summary,Expenditure Summary,,,,,,,,,
,,,,,FY 2009,FY 2009,FY 2009,FY 2010,,FY 2011,FY 2011,FY 2012
,,,,,,Actual,Actual,Actual,,Approved,Approved,Approved
Personnel Services,Personnel Services,Personnel Services,,,"1,675,081","1,675,081","1,675,081","1,564,367",,"1,698,701","1,698,701","1,794,349"
"Materials, Supplies & Repairs","Materials, Supplies & Repairs","Materials, Supplies & Repairs","Materials, Supplies & Repairs",,,"62,761","62,761","60,265",,"103,628","103,628","110,929"
Contractual Services,Contractual Services,Contractual Services,,,,"96,557","96,557","60,421",,"92,313","92,313","92,313"
All Purpose Appropriations,All Purpose Appropriations,All Purpose Appropriations,,,"3,886,876","3,886,876","3,886,876","3,609,298",,"3,678,958","3,678,958","3,540,309"
State Support,State Support,,,,,,0,0,,,0,0
Total,Total,,,,"5,721,275","5,721,275","5,721,275","5,294,351",,"5,573,600","5,573,600","5,537,900"
236,Public Health,,,,,,,,,,,
