Name: “Table 1 of 1 on page 47 of 116”,Name: “Table 1 of 1 on page 47 of 116”,Name: “Table 1 of 1 on page 47 of 116”,Name: “Table 1 of 1 on page 47 of 116”,Name: “Table 1 of 1 on page 47 of 116”,Name: “Table 1 of 1 on page 47 of 116”,Name: “Table 1 of 1 on page 47 of 116”,Name: “Table 1 of 1 on page 47 of 116”,Name: “Table 1 of 1 on page 47 of 116”,Name: “Table 1 of 1 on page 47 of 116”,Name: “Table 1 of 1 on page 47 of 116”,Name: “Table 1 of 1 on page 47 of 116”
Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47
,,,,,,,,,,,
,,,,,Mitigate Tidal Flooding,Mitigate Tidal Flooding,Mitigate Tidal Flooding,,,,
Department,Department,,,,,,,Project Description,Project Description,,
Public Works,Public Works,,,,,,Provide funds for continuous study efforts to mitigate tidal,Provide funds for continuous study efforts to mitigate tidal,Provide funds for continuous study efforts to mitigate tidal,Provide funds for continuous study efforts to mitigate tidal,Provide funds for continuous study efforts to mitigate tidal
,,,,,,,"flooding in areas such as the Hague, Pretty Lake, Spartan","flooding in areas such as the Hague, Pretty Lake, Spartan","flooding in areas such as the Hague, Pretty Lake, Spartan","flooding in areas such as the Hague, Pretty Lake, Spartan","flooding in areas such as the Hague, Pretty Lake, Spartan"
Account #,Account #,,,,,,"Village, and Mason Creek.","Village, and Mason Creek.",,,
4000 10 4186,4000 10 4186,,,,,,,,,,
Customers Served,Customers Served,,,,,,,,,,
Residents,v,Business,v,City Services,City Services,v,,,,,
Educational Community,Educational Community,Educational Community,v,Tourists/Visitors,Tourists/Visitors,v,,,,,
,,,,,,Financial Summary,Financial Summary,,,,
,,FY 2012,FY 2012,FY 2012,FY 2013,,FY 2014,FY 2015,FY 2016,FY 2017,TOTAL
FY 2013 Approved,FY 2013 Approved,,,N/A,"200,000","200,000",0,0,0,0,"200,000"
FY 2012 Approved,FY 2012 Approved,,,0,,0,0,0,0,N/A,0
Estimated Operating,Estimated Operating,,,N/A,,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,,,
FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,,,0,,,,,
Site Improvements,Site Improvements,,,,,0,Prior Capital Funding,Prior Capital Funding,,,0
Construction,Construction,,,,"200,000","200,000",FY 2013 Approved,FY 2013 Approved,,"200,000",
Inspections / Permits,Inspections / Permits,,,,,0,Capital Share Remaining,Capital Share Remaining,,,0
,,Total,,,"200,000","200,000",Project Total,,,"200,000",
,,Property Address:,Property Address:,Property Address:,Citywide,Citywide,,,,,
,,,,,,,,,Environmental Sustainability CIP - 427,Environmental Sustainability CIP - 427,Environmental Sustainability CIP - 427
